年度,事故種別,発生日,発生時間,場所,路線,事故当事者,上半期,下半期,緯度,経度
令和1年,1,２０１９年５月６日（月）,午後１時２０分ころ,品川区豊町２丁目,区道,歩行者(８０歳代男性、死亡)、中型貨物車(２０歳代男性),1,0,35.61133801660,139.72365707100
令和1年,1,２０１９年９月９日（月）,午前８時５分ころ,品川区南大井４丁目,国道１５号,自転車(６０歳代女性、死亡)、大型貨物車(４０歳代男性),0,1,35.59609873880,139.73691564000
令和2年,1,２０２０年４月２２日（水）,午後６時１４分ころ,品川区八潮３丁目,臨港道路,自転車(５０歳代男性、死亡)、大型貨物車(６０歳代男性),1,0,35.59500915,139.7585402
令和2年,1,２０２０年５月２３日（土）,午後２３時３８分ころ,品川区平塚１丁目,第二京浜,歩行者(５０歳代男性、死亡)、普通乗用車(４０歳代男性),1,0,35.61572896,139.71687
令和2年,1,２０２０年２月２９日（土）,午後６時５分ころ,品川区東大井４丁目,国道１５号,自動二輪車(５０歳代男性、死亡)、縁石,1,0,35.60670329,139.7431297
令和2年,1,２０２０年４月１４日（火）,午後８時４４分ころ,品川区中延４丁目,国道１号,歩行者(９０歳代女性、死亡)、普通乗用車(２０歳代男性),1,0,35.60464646,139.7134907
令和2年,1,２０２０年１１月２５日（水）,午前９時２５分ころ,品川区八潮３丁目,国道３５７号,自動二輪(５０歳代男性、死亡)、普通貨物車(７０歳代男性),0,1,35.59505975,139.7549482
令和3年,1,２０２１年１月１３日（水）,午前７時１分ころ,品川区小山２丁目,区道,歩行者(６０歳代男性、死亡)、普通乗用車(４０歳代男性),1,0,35.62047835,139.7077996
令和3年,1,２０２１年７月２６日（月）,午後８時１４分ころ,品川区北品川４丁目,国道１５号,自転車(４０歳代男性、死亡)、タクシー(６０歳代男性),0,1,35.62462637,139.7382118
令和4年,1,２０２２年９月２８日（水）,午後６時２８分ころ,品川区大井２丁目,区道,普通乗用車(８０歳代男性、死亡)、路面,0,1,35.60471480340,139.72925558800
